      0    1    2    3    4    5    6    7    8
0   1.0  9.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
1   1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
2   1.0  7.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
3   1.0  7.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
4   1.0  7.0  2.0  4.0  0.0  0.0  0.0  0.0  0.0
5   1.0  7.0  2.0  4.0  3.0  0.0  0.0  0.0  0.0
6   1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
7   1.0  4.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
8   1.0  4.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
9   1.0  4.0  2.0  7.0  0.0  0.0  0.0  0.0  0.0
10  1.0  4.0  2.0  7.0  3.0  0.0  0.0  0.0  0.0
11  2.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
12  2.0  5.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
13  2.0  5.0  1.0  0.0  0.0  0.0  0.0  0.0  0.0
14  2.0  5.0  1.0  3.0  0.0  0.0  0.0  0.0  0.0
15  2.0  5.0  1.0  3.0  7.0  0.0  0.0  0.0  0.0
16  2.0  5.0  1.0  3.0  7.0  4.0  0.0  0.0  0.0
17  2.0  5.0  1.0  3.0  7.0  4.0  9.0  0.0  0.0
18  2.0  5.0  1.0  3.0  7.0  4.0  9.0  8.0  0.0
19  2.0  5.0  1.0  3.0  7.0  4.0  9.0  8.0  6.0
20  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
21  1.0  4.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
22  1.0  4.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
23  1.0  4.0  2.0  6.0  0.0  0.0  0.0  0.0  0.0
24  1.0  4.0  2.0  6.0  5.0  0.0  0.0  0.0  0.0
25  1.0  4.0  2.0  6.0  5.0  3.0  0.0  0.0  0.0
26  1.0  4.0  2.0  6.0  5.0  3.0  8.0  0.0  0.0
27  1.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
28  1.0  4.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
29  1.0  4.0  2.0  0.0  0.0  0.0  0.0  0.0  0.0
30  1.0  4.0  2.0  5.0  0.0  0.0  0.0  0.0  0.0
31  1.0  4.0  2.0  5.0  3.0  0.0  0.0  0.0  0.0
